targets,runtime
0,11196
10,258195
20,585870
30,949039
40,1116270
50,1416159
60,1789021
70,2023276
80,2667258
90,2795884
100,2935622
110,3334068
120,3646746
130,4143869
140,4693967
150,5084402
160,5186911
170,6328555
180,7056263
190,6443466
200,7128273
210,7408697
220,8511039
230,8989379
240,9456217
250,9288183
260,9933911
270,11151946
280,11086369
290,11756329
300,11879845
310,12742755
320,13460672
330,13705554
340,14914766
350,15234252
360,15896580
370,16492534
380,17958632
390,17187478
400,18587400
410,19507610
420,19163443
430,20277919
440,21535552
450,21442343
460,22598841
470,23390079
480,23150889
490,24204304
500,24320050
510,25656213
520,27701293
530,27898085
540,30211950
550,30921337
560,29120925
570,31882257
580,32589446
590,35539006
600,33184664
610,35061658
620,34583663
630,34457324
640,35349277
650,35671004
660,37538715
670,38650736
680,40922660
690,39458318
700,40713542
710,43451782
720,43608418
730,43519705
740,46114974
750,45614280
760,47512592
770,48411700
780,52786422
790,52680634
800,54025936
810,52828056
820,56305811
830,55707485
840,58773864
850,55893055
860,59756552
870,60536718
880,60968476
890,60446548
900,63309591
910,63095067
920,64221682
930,65542185
940,68835983
950,67567239
960,70190117
970,71422569
980,73228575
990,73012769
1000,71124028
