targets,runtime
0,10129
10,137383
20,274528
30,423163
40,566370
50,754089
60,1004319
70,1070521
80,1300822
90,1468511
100,1789849
110,1934242
120,2099533
130,2348040
140,2702087
150,2824108
160,3418457
170,3325059
180,3608104
190,4247579
200,4219479
210,4655848
220,5192897
230,5047103
240,5874293
250,5876273
260,6092413
270,6594673
280,7283925
290,7619970
300,8085324
310,9071589
320,8699700
330,9286970
340,9872236
350,10467618
360,10817112
370,10746498
380,11531163
390,11783232
400,12629131
410,13322355
420,13402141
430,13925670
440,14825115
450,15821117
460,16736214
470,16392606
480,17050991
490,18125044
500,18353624
510,18167483
520,20106227
530,20291074
540,21103444
550,21934728
560,21845263
570,22115620
580,23683911
590,22812386
600,23700689
610,26742839
620,26089811
630,26858685
640,27587564
650,28901081
660,30650785
670,30653932
680,30321595
690,31037638
700,31968862
710,34940874
720,33726101
730,35923396
740,36550871
750,36538139
760,38614682
770,38364096
780,39376707
790,41037830
800,42015875
810,41931911
820,44854030
830,44528695
840,45203677
850,47127321
860,47568588
870,46394570
880,47963232
890,46615302
900,52214361
910,49836073
920,51810097
930,53161530
940,56656430
950,54373524
960,54930015
970,60681145
980,59700165
990,59119524
1000,60703794
